,,2016,2017,2018,2019,2020
Estonia,Total deaths,2,5,8,15,14
Estonia,Deaths due to external causes: by intentional homicide,:,:,:,:,:
Estonia,Deaths due to external causes: by suicide,:,1,4,4,3
Estonia,Deaths due to natural causes,:,:,4,11,11
Sweden,Total deaths,8,8,14,8,6
Sweden,Deaths due to external causes: by accident or other causes,0,0,0,0,0
Sweden,Deaths due to external causes: by intentional homicide,0,0,0,0,0
Sweden,Deaths due to external causes: by suicide,1,1,2,2,2
Sweden,Deaths due to natural causes,7,7,12,6,4
Finland,Total deaths,4,2,6,5,8
Finland,Deaths due to external causes: by accident or other causes,0,0,0,:,0
Finland,Deaths due to external causes: by intentional homicide,0,0,0,0,0
Finland,Deaths due to external causes: by suicide,2,2,2,1,4
Finland,Deaths due to natural causes,2,0,1,:,4
Denmark,Total deaths,12,9,8,12,4
Denmark,Deaths due to external causes: by accident or other causes,1,:,:,1,:
Denmark,Deaths due to external causes: by intentional homicide,0,:,:,:,:
Denmark,Deaths due to external causes: by suicide,8,4,5,9,4
Denmark,Deaths due to natural causes,3,5,3,2,:
Ireland,Total deaths,:,:,:,:,:
Ireland,Deaths due to external causes: by intentional homicide,:,:,:,:,:
Ireland,Deaths due to external causes: by suicide,:,:,:,:,:
Bulgaria,Total deaths,48,36,32,49,52
Bulgaria,Deaths due to external causes: by accident or other causes,0,0,0,0,2
Bulgaria,Deaths due to external causes: by intentional homicide,0,0,0,0,0
Bulgaria,Deaths due to external causes: by suicide,3,5,3,3,1
Bulgaria,Deaths due to natural causes,45,31,29,46,49
Hungary,Total deaths,64,75,71,65,71
Hungary,Deaths due to external causes: by accident or other causes,2,0,0,0,0
Hungary,Deaths due to external causes: by intentional homicide,0,1,0,0,0
Hungary,Deaths due to external causes: by suicide,9,4,6,6,5
Hungary,Deaths due to natural causes,53,70,65,59,66
Poland,Total deaths,123,:,170,159,174
Poland,Deaths due to external causes: by accident or other causes,6,:,9,6,2
Poland,Deaths due to external causes: by suicide,24,:,26,24,27
Poland,Deaths due to natural causes,93,:,135,129,145
Romania,Total deaths,98,91,103,70,107
Romania,Deaths due to external causes: by accident or other causes,:,1,3,2,7
Romania,Deaths due to external causes: by intentional homicide,:,1,:,2,1
Romania,Deaths due to external causes: by suicide,11,9,11,7,14
Romania,Deaths due to natural causes,:,80,89,59,85
Slovakia,Total deaths,30,29,17,:,30
Slovakia,Deaths due to external causes: by accident or other causes,0,0,0,:,0
Slovakia,Deaths due to external causes: by intentional homicide,0,0,0,:,0
Slovakia,Deaths due to external causes: by suicide,6,10,5,:,4
Slovakia,Deaths due to natural causes,24,19,12,:,26
Slovenia,Total deaths,5,4,2,2,5
Slovenia,Deaths due to external causes: by accident or other causes,0,0,0,0,0
Slovenia,Deaths due to external causes: by intentional homicide,0,0,0,0,0
Slovenia,Deaths due to external causes: by suicide,3,1,0,0,1
Slovenia,Deaths due to natural causes,2,3,2,2,4
Greece,Total deaths,46,37,69,:,69
Greece,Deaths due to external causes: by accident or other causes,2,5,11,:,16
Greece,Deaths due to external causes: by intentional homicide,0,0,0,:,1
Greece,Deaths due to external causes: by suicide,6,0,9,:,6
Greece,Deaths due to natural causes,38,32,49,:,46
Italy,Total deaths,103,126,161,143,184
Italy,Deaths due to external causes: by accident or other causes,:,:,:,:,23
Italy,Deaths due to external causes: by intentional homicide,:,:,:,:,1
Italy,Deaths due to external causes: by suicide,39,48,61,53,61
Italy,Deaths due to natural causes,64,78,100,90,99
Portugal,Total deaths,68,69,54,64,75
Portugal,Deaths due to external causes: by intentional homicide,0,0,0,0,0
Portugal,Deaths due to external causes: by suicide,9,15,11,11,21
Portugal,Deaths due to natural causes,59,54,43,53,54
Spain,Total deaths,156,147,210,194,204
Spain,Deaths due to external causes: by accident or other causes,41,30,66,50,46
Spain,Deaths due to external causes: by intentional homicide,0,1,1,0,2
Spain,Deaths due to external causes: by suicide,23,27,33,43,51
Spain,Deaths due to natural causes,92,89,110,101,105
Austria,Total deaths,40,33,44,38,29
Austria,Deaths due to external causes: by intentional homicide,0,1,0,0,1
Austria,Deaths due to external causes: by suicide,10,11,12,9,8
Austria,Deaths due to natural causes,30,21,32,29,20
France,Total deaths,266,153,287,240,255
France,Deaths due to external causes: by intentional homicide,6,3,1,:,:
France,Deaths due to external causes: by suicide,125,88,103,128,119
France,Deaths due to natural causes,135,:,:,:,:
Germany,Total deaths,163,173,:,:,:
Germany,Deaths due to external causes: by accident or other causes,2,0,:,:,:
Germany,Deaths due to external causes: by suicide,76,82,:,:,:
Netherlands,Total deaths,30,46,41,32,41
Netherlands,Deaths due to external causes: by intentional homicide,0,1,0,0,0
Netherlands,Deaths due to external causes: by suicide,6,14,13,12,13
Belgium,Total deaths,:,44,42,39,48
Belgium,Deaths due to external causes: by suicide,:,13,16,12,15
