,,2016,2017,2018,2019,2020
Estonia,Total persons held,3156,3082,2956,2945,2751
Estonia,Male persons held,2930,2848,2729,2721,:
Estonia,Female persons held,226,234,227,224,:
Estonia,Unsentenced: Total,:,570,530,493,473
Sweden,Total persons held,83604,84441,81904,81943,78740
Sweden,Male persons held,79772,80459,78122,78189,75499
Sweden,Female persons held,3832,3982,3782,3754,3241
Sweden,Unsentenced for less than 12 months,:,:,:,10011,10495
Sweden,Unsentenced for less than 6 months,:,:,:,9332,9647
Sweden,Unsentenced for more than 12 months,:,:,:,100,77
Sweden,Unsentenced: Total,1427,1565,1721,1885,2021
Finland,Total persons held,68432,68974,70059,70739,62673
Finland,Male persons held,66167,66581,67525,68119,:
Finland,Female persons held,2265,2393,2534,2532,:
Finland,Unsentenced for less than 12 months,552,557,487,588,573
Finland,Unsentenced for less than 6 months,428,429,358,442,425
Finland,Unsentenced for more than 12 months,52,58,42,44,73
Finland,Unsentenced: Total,604,615,529,632,646
Denmark,Total persons held,2864,2723,2584,2487,2366
Denmark,Male persons held,3258,3282,3503,3738,:
Denmark,Female persons held,:,141,123,112,:
Denmark,Unsentenced: Total,923,1275,1236,1351,1554
Ireland,Total persons held,1648,1709,1567,1806,1396
Ireland,Male persons held,3894,3474,3248,3120,:
Ireland,Female persons held,349,291,274,294,:
Ireland,Unsentenced: Total,639,690,791,809,751
Bulgaria,Total persons held,11071,10471,10261,10559,10381
Bulgaria,Male persons held,:,:,:,:,:
Bulgaria,Female persons held,:,:,:,:,:
Bulgaria,Unsentenced: Total,587,639,609,623,677
Hungary,Total persons held,55978,59038,61131,62232,54605
Hungary,Male persons held,1605,1670,1524,1759,:
Hungary,Female persons held,2379,2516,2699,2790,:
Hungary,Unsentenced for less than 12 months,:,2499,1901,5122,5229
Hungary,Unsentenced for less than 6 months,:,1757,1353,3335,3227
Hungary,Unsentenced for more than 12 months,:,837,764,1547,1743
Hungary,Unsentenced: Total,3622,3401,3107,2748,2721
Poland,Total persons held,:,3,6,:,:
Poland,Male persons held,10255,10417,10428,10616,:
Poland,Female persons held,:,:,:,:,:
Poland,Unsentenced: Total,5396,7239,7360,8606,8766
Romania,Total persons held,9995,10028,10294,10555,10519
Romania,Male persons held,1265,1219,1320,1320,:
Romania,Female persons held,673,716,772,785,:
Romania,Unsentenced: Total,1585,1370,1367,1587,1694
Slovakia,Total persons held,6507,6564,6602,6568,6183
Slovakia,Male persons held,6137,6193,6215,6164,:
Slovakia,Female persons held,370,371,387,393,:
Slovakia,Unsentenced for less than 12 months,:,1380,1414,1477,1448
Slovakia,Unsentenced for less than 6 months,:,1165,1116,1186,1157
Slovakia,Unsentenced for more than 12 months,:,136,165,154,209
Slovakia,Unsentenced: Total,1438,1516,1579,1631,1657
Slovenia,Total persons held,60771,57100,:,55078,:
Slovenia,Male persons held,:,54236,:,:,:
Slovenia,Female persons held,:,2862,:,:,:
Slovenia,Unsentenced: Total,135,274,302,332,401
Greece,Total persons held,3718,3680,3962,4017,3810
Greece,Male persons held,2982,:,:,:,:
Greece,Female persons held,95,:,:,:,:
Greece,Unsentenced: Total,2829,3260,3317,2892,2654
Italy,Total persons held,72,73,63,43,64
Italy,Male persons held,6493,6268,6181,5850,:
Italy,Female persons held,322,331,304,288,:
Italy,Unsentenced for less than 12 months,9073,9183,9529,9293,7829
Italy,Unsentenced for less than 6 months,6656,6901,7128,7040,5845
Italy,Unsentenced for more than 12 months,1204,1497,1375,1518,1768
Italy,Unsentenced: Total,10277,10680,10904,10811,9597
Portugal,Total persons held,10672,10807,10871,11077,10540
Portugal,Male persons held,9322,9312,9522,9770,:
Portugal,Female persons held,417,390,443,461,:
Portugal,Unsentenced: Total,2117,2105,2196,2271,2273
Spain,Total persons held,8,6,:,:,:
Spain,Male persons held,:,2582,2461,2375,:
Spain,Female persons held,:,0,:,:,:
Spain,Unsentenced for less than 12 months,5224,5207,5716,5852,5100
Spain,Unsentenced for less than 6 months,3508,3423,3965,3967,3671
Spain,Unsentenced for more than 12 months,1510,1934,2077,1983,2135
Spain,Unsentenced: Total,7996,9091,9951,10182,9272
Austria,Total persons held,8619,8852,9163,9072,8488
Austria,Male persons held,8127,8334,8600,8466,:
Austria,Female persons held,492,518,563,606,:
Austria,Unsentenced for less than 12 months,1678,1846,1797,1732,1461
Austria,Unsentenced for less than 6 months,1453,1559,1537,1480,1276
Austria,Unsentenced for more than 12 months,79,87,69,69,104
Austria,Unsentenced: Total,1766,1938,1874,1813,1571
France,Total persons held,64291,65841,65762,63146,59585
France,Male persons held,9035,9460,10101,10401,:
France,Female persons held,:,:,:,:,:
France,Unsentenced for less than 12 months,13066,13076,13489,13923,11480
France,Unsentenced for less than 6 months,8725,8901,8533,8814,7864
France,Unsentenced for more than 12 months,6432,6738,6854,7152,6376
France,Unsentenced: Total,19498,19815,20343,18327,17856
Germany,Total persons held,3408,3418,3635,3920,4166
Germany,Female persons held,150,136,132,182,:
Germany,Unsentenced: Total,14671,15786,15709,14576,13796
Netherlands,Total persons held,27455,23450,20792,20578,21753
Netherlands,Male persons held,26044,22330,19844,19646,:
Netherlands,Female persons held,1411,1120,948,932,:
Netherlands,Unsentenced: Total,2748,2791,2893,3104,3147
Belgium,Total persons held,35169,34356,32556,:,:
Belgium,Male persons held,:,:,:,:,:
Belgium,Female persons held,:,:,2834,:,:
Belgium,Unsentenced: Total,:,3586,3586,:,:
