,,2016,2017,2018,2019,2020
Estonia,FBAD,12 ,12 ,11 ,12 ,12 
Estonia,FGOOD,56 ,42 ,54 ,49 ,48 
Sweden,FBAD,10 ,12 ,11 ,10 ,8 
Sweden,FGOOD,53 ,51 ,53 ,50 ,52 
Finland,FBAD,10 ,11 ,9 ,9 ,7 
Finland,FGOOD,65 ,62 ,65 ,62 ,61 
Denmark,FBAD,6 ,5 ,7 ,5 ,6 
Denmark,FGOOD,51 ,46 ,49 ,47 ,45 
Ireland,FBAD,13 ,11 ,12 ,10 ,12 
Ireland,FGOOD,55 ,51 ,55 ,55 ,49 
Bulgaria,FBAD,35 ,37 ,31 ,35 ,31 
Bulgaria,FGOOD,21 ,24 ,27 ,31 ,34 
Hungary,FBAD,22 ,21 ,22 ,21 ,24 
Hungary,FGOOD,44 ,43 ,42 ,37 ,42 
Poland,FBAD,32 ,26 ,29 ,30 ,31 
Poland,FGOOD,40 ,45 ,37 ,35 ,29 
Romania,FBAD,23 ,19 ,24 ,27 ,28 
Romania,FGOOD,43 ,43 ,42 ,36 ,33 
Slovakia,FBAD,36 ,35 ,39 ,36 ,38 
Slovakia,FGOOD,19 ,21 ,26 ,25 ,24 
Slovenia,FBAD,32 ,30 ,32 ,28 ,31 
Slovenia,FGOOD,27 ,34 ,31 ,37 ,39 
Greece,FBAD,26 ,25 ,22 ,24 ,24 
Greece,FGOOD,41 ,44 ,48 ,48 ,47 
Italy,FBAD,36 ,38 ,32 ,29 ,37 
Italy,FGOOD,23 ,30 ,29 ,34 ,26 
Portugal,FBAD,31 ,30 ,32 ,33 ,34 
Portugal,FGOOD,31 ,40 ,48 ,40 ,39 
Spain,FBAD,38 ,39 ,32 ,37 ,34 
Spain,FGOOD,27 ,28 ,32 ,32 ,36 
Austria,FBAD,13 ,14 ,7 ,8 ,7 
Austria,FGOOD,59 ,58 ,58 ,65 ,62 
France,FBAD,29 ,26 ,23 ,23 ,22 
France,FGOOD,49 ,50 ,52 ,53 ,51 
Germany,FBAD,13 ,12 ,14 ,15 ,11 
Germany,FGOOD,54 ,59 ,55 ,52 ,55 
Netherlands,FBAD,9 ,8 ,7 ,11 ,7 
Netherlands,FGOOD,56 ,51 ,54 ,51 ,50 
Belgium,FBAD,19 ,21 ,18 ,17 ,19 
Belgium,FGOOD,56 ,54 ,55 ,53 ,54 
