,,2016,2017,2018,2019,2020
Estonia,NR,70,71,73,74,75
Sweden,NR,88,84,85,85,85
Finland,NR,89,85,85,86,85
Denmark,NR,90,88,88,87,88
Ireland,NR,73,74,73,74,72
Bulgaria,NR,41,43,42,43,44
Hungary,NR,48,45,46,44,44
Poland,NR,62,60,60,58,56
Romania,NR,48,48,47,44,44
Slovakia,NR,51,50,50,50,49
Slovenia,NR,61,61,60,60,60
Greece,NR,44,48,45,48,50
Italy,NR,47,50,52,53,53
Portugal,NR,62,63,64,62,61
Spain,NR,58,57,58,62,62
Austria,NR,75,75,76,77,76
France,NR,69,70,72,69,69
Germany,NR,81,81,80,80,80
Netherlands,NR,83,82,82,82,82
Belgium,NR,77,75,75,75,76
