,,2016,2017,2018,2019,2020
Estonia,GF03,1.9,1.9,1.9,1.8 ,2.0 
Estonia,GF0301,1.0,1.0,1.0,0.9 ,1.1 
Estonia,GF0303,0.3,0.3,0.3,0.3 ,0.3 
Estonia,GF0304,0.2,0.2,0.2,0.2 ,0.2 
Estonia,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Estonia,GF0306,0.2,0.2,0.1,0.1 ,0.1 
Sweden,GF03,1.3,1.3,1.3,1.3 ,1.4 
Sweden,GF0301,0.6,0.6,0.6,0.6 ,0.7 
Sweden,GF0303,0.3,0.3,0.3,0.3 ,0.3 
Sweden,GF0304,0.2,0.2,0.2,0.2 ,0.2 
Sweden,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Sweden,GF0306,0.0,0.0,0.0,0.0 ,0.0 
Finland,GF03,1.2,1.1,1.1,1.2 ,1.2 
Finland,GF0301,0.5,0.5,0.5,0.5 ,0.5 
Finland,GF0303,0.2,0.2,0.2,0.3 ,0.2 
Finland,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Finland,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Finland,GF0306,0.1,0.0,0.0,0.0 ,0.0 
Denmark,GF03,1.0,0.9,0.9,1.0 ,1.0 
Denmark,GF0301,0.5,0.5,0.5,0.6 ,0.6 
Denmark,GF0303,0.2,0.2,0.2,0.2 ,0.2 
Denmark,GF0304,0.2,0.2,0.2,0.2 ,0.2 
Denmark,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Denmark,GF0306,0.0,0.0,0.0,0.0 ,0.0 
Ireland,GF03,1.1,1.0,1.0,0.9 ,0.9 
Ireland,GF0301,0.6,0.6,0.6,0.5 ,0.5 
Ireland,GF0303,0.2,0.2,0.2,0.2 ,0.2 
Ireland,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Ireland,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Ireland,GF0306,0.1,0.1,0.1,0.1 ,0.1 
Bulgaria,GF03,2.3,2.5,2.5,2.7 ,2.7 
Bulgaria,GF0301,1.1,1.2,1.2,1.3 ,1.3 
Bulgaria,GF0303,0.6,0.6,0.6,0.7 ,0.7 
Bulgaria,GF0304,0.1,0.1,0.1,0.2 ,0.2 
Bulgaria,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Bulgaria,GF0306,0.2,0.2,0.2,0.2 ,0.2 
Hungary,GF03,2.3,2.3,2.2,2.1 ,2.1 
Hungary,GF0301,1.3,1.4,1.4,1.3 ,1.2 
Hungary,GF0303,0.4,0.4,0.4,0.4 ,0.4 
Hungary,GF0304,0.3,0.3,0.2,0.2 ,0.3 
Hungary,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Hungary,GF0306,0.0,0.0,0.0,0.0 ,0.0 
Poland,GF03,2.2,2.1,2.1,2.1 ,2.3 
Poland,GF0301,1.1,1.1,1.1,1.1 ,1.1 
