freq,indic_cr,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PRIS_ACT_CAP,NR,AL	4659 	4618 	4998 	5689 	5981 	6031 	5674 	5316 	5045 	4614 
A,PRIS_ACT_CAP,NR,AT	8770 	8805 	8862 	8692 	8665 	8619 	8852 	9163 	9072 	8488 
A,PRIS_ACT_CAP,NR,BA	2757 	: 	2898 	2825 	2730 	2832 	2820 	4377 	4482 	4097 
A,PRIS_ACT_CAP,NR,BE	11040 	11183 	11818 	: 	10994 	: 	10471 	10261 	10559 	10381 
A,PRIS_ACT_CAP,NR,BG	9885 	9493 	8834 	7870 	7408 	7345 	6988 	6651 	6448 	6251 
A,PRIS_ACT_CAP,NR,CH	5626 	6102 	6652 	6519 	6498 	6507 	6564 	6602 	6568 	6183 
A,PRIS_ACT_CAP,NR,CY	622 	678 	553 	532 	547 	586 	592 	619 	759 	: 
A,PRIS_ACT_CAP,NR,CZ	23170 	22644 	16645 	18658 	20866 	22481 	22159 	21577 	21048 	19286 
A,PRIS_ACT_CAP,NR,DE	69543 	68533 	66221 	63228 	63020 	64291 	65841 	65762 	63146 	59585 
A,PRIS_ACT_CAP,NR,DK	3947 	3829 	4091 	3583 	3203 	3408 	3418 	3635 	3920 	4166 
A,PRIS_ACT_CAP,NR,EE	3400 	3286 	3023 	3034 	2823 	2864 	2723 	2584 	2487 	2366 
A,PRIS_ACT_CAP,NR,EL	12479 	12475 	12693 	11798 	9611 	9560 	10011 	10654 	10891 	11379 
A,PRIS_ACT_CAP,NR,ES	70472 	68597 	66765 	65017 	61614 	59589 	58812 	58883 	58517 	55180 
A,PRIS_ACT_CAP,NR,FI	3268 	3306 	3295 	3148 	3135 	3156 	3082 	2956 	2945 	2751 
A,PRIS_ACT_CAP,NR,FR	64787 	66572 	67075 	66270 	66678 	68432 	68974 	70059 	70739 	62673 
A,PRIS_ACT_CAP,NR,HR	5084 	4741 	4352 	3763 	3341 	3108 	3190 	3217 	3533 	3531 
A,PRIS_ACT_CAP,NR,HU	17210 	17179 	17841 	17890 	17449 	17658 	17343 	17251 	16664 	16726 
A,PRIS_ACT_CAP,NR,IE	4216 	4287 	4088 	3777 	3755 	3718 	3680 	3962 	4017 	3810 
A,PRIS_ACT_CAP,NR,IS	150 	153 	147 	154 	139 	116 	137 	136 	158 	141 
A,PRIS_ACT_CAP,NR,IT	68325 	67102 	63848 	54745 	53410 	55978 	59038 	61131 	62232 	54605 
A,PRIS_ACT_CAP,NR,LI	71 	60 	68 	53 	53 	72 	73 	63 	43 	64 
A,PRIS_ACT_CAP,NR,LT	9920 	9729 	9261 	8636 	7355 	6815 	6599 	6485 	6138 	5320 
A,PRIS_ACT_CAP,NR,LU	637 	666 	656 	626 	691 	724 	684 	656 	608 	557 
A,PRIS_ACT_CAP,NR,LV	6561 	6117 	5136 	4745 	4409 	4243 	3765 	3522 	3414 	3104 
A,PRIS_ACT_CAP,NR,ME	1328 	1331 	1064 	1123 	1131 	1123 	1119 	1125 	1090 	810 
A,PRIS_ACT_CAP,NR,MK	: 	: 	: 	: 	: 	3231 	3031 	: 	: 	: 
A,PRIS_ACT_CAP,NR,MT	584 	585 	615 	581 	569 	553 	591 	635 	754 	864 
