freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_EUR,S13,GF01,TE,AT	23388.9 	23109.4 	22172.9 	22773.2 	22851.4 	23419.4 	23502.8 
A,MIO_EUR,S13,GF01,TE,BE	33422.2 	34096.0 	31904.8 	32561.0 	32823.9 	33771.3 	34976.9 
A,MIO_EUR,S13,GF01,TE,BG	1725.8 	1729.7 	1665.6 	2058.0 	2198.9 	2283.2 	2489.6 
A,MIO_EUR,S13,GF01,TE,CH	28712.9 	27810.3 	28326.6 	27125.1 	27922.2 	29662.3 	29326.7 
A,MIO_EUR,S13,GF01,TE,CY	1623.8 	1486.6 	1487.7 	1508.8 	1662.6 	1639.3 	1647.6 
A,MIO_EUR,S13,GF01,TE,CZ	7942.1 	8085.4 	8146.8 	9344.2 	9831.6 	10042.3 	11042.2 
A,MIO_EUR,S13,GF01,TE,DE	179800.0 	181192.0 	187439.0 	191893.0 	201081.0 p	207066.0 p	224207.0 p
A,MIO_EUR,S13,GF01,TE,DK	20110.7 	18665.6 	17409.2 	19154.5 	18274.6 	19681.7 	20368.6 
A,MIO_EUR,S13,GF01,TE,EA19	699084.4 	688834.6 	690788.4 	697099.1 	698781.5 	703345.6 	754190.8 
A,MIO_EUR,S13,GF01,TE,EA20	702092.4 	692004.6 	693825.7 	699951.5 	701713.8 	706132.0 	756987.6 
A,MIO_EUR,S13,GF01,TE,EE	831.3 	861.9 	917.9 	1006.8 	984.7 	1091.9 	1206.4 
A,MIO_EUR,S13,GF01,TE,EL	17769.0 	15553.0 	15060.0 	15214.0 	14456.0 	13873.0 	14270.0 
A,MIO_EUR,S13,GF01,TE,ES	70219.0 	68264.0 	64606.0 	67609.0 	67768.0 	66018.0 	71010.0 p
A,MIO_EUR,S13,GF01,TE,EU27_2020	802640.8 	788349.5 	791798.7 	805682.6 	808414.9 	817038.1 	875016.1 
A,MIO_EUR,S13,GF01,TE,FI	17683.0 b	17259.0 	17577.0 	18687.0 	19181.0 	19982.0 	20339.0 
A,MIO_EUR,S13,GF01,TE,FR	138078.0 	137363.0 	141564.0 	137902.0 	135719.0 	132996.0 p	144998.0 p
A,MIO_EUR,S13,GF01,TE,HR	3008.0 	3170.0 	3037.3 	2852.3 	2932.4 	2786.5 	2796.8 
A,MIO_EUR,S13,GF01,TE,HU	10093.4 	9493.2 	9966.9 	11134.8 	11873.2 	11123.5 	12330.1 
A,MIO_EUR,S13,GF01,TE,IE	10952.8 	10884.3 	10525.7 	10852.7 	9864.2 	9401.3 	9792.3 
A,MIO_EUR,S13,GF01,TE,IS	1538.6 	1671.7 	2161.6 	1773.3 	1621.9 	1421.1 	1522.9 
A,MIO_EUR,S13,GF01,TE,IT	142265.0 	140029.0 	139857.0 	137671.0 	131663.0 	132378.0 	144438.0 
A,MIO_EUR,S13,GF01,TE,LT	1718.2 	1681.5 	1573.9 	1579.3 	1703.7 	1770.1 	1727.2 
A,MIO_EUR,S13,GF01,TE,LU	2564.1 	2744.4 	2852.4 	3120.3 	3261.8 	3261.9 	3394.4 
A,MIO_EUR,S13,GF01,TE,LV	1203.9 	1072.3 	1083.6 	1174.2 	1166.6 	1150.9 	1258.5 
A,MIO_EUR,S13,GF01,TE,MT	620.9 	631.0 	638.5 	664.0 	732.2 	722.0 	937.6 
A,MIO_EUR,S13,GF01,TE,NL	33814.0 	30483.0 	29742.0 	31293.0 	32307.0 	33119.0 	33424.0 
A,MIO_EUR,S13,GF01,TE,NO	16466.5 	15814.4 	16211.9 	16419.9 	17322.2 	16247.6 	17232.8 
A,MIO_EUR,S13,GF01,TE,PL	21087.9 	19963.9 	20654.6 	21726.7 	22536.0 	23129.1 	23865.5 
A,MIO_EUR,S13,GF01,TE,PT	15766.7 	15364.8 	14899.1 	14666.3 	14093.4 	14041.4 	14503.0 p
A,MIO_EUR,S13,GF01,TE,RO	7620.1 	7304.2 	7636.2 	9133.5 	9155.5 	10785.2 	12103.4 
A,MIO_EUR,S13,GF01,TE,SE	31968.4 	31102.9 	32493.8 	33179.6 	32831.3 	33861.0 	35829.2 
A,MIO_EUR,S13,GF01,TE,SI	2579.9 	2670.5 	2520.0 	2463.5 	2524.3 	2505.3 	2708.5 
A,MIO_EUR,S13,GF01,TE,SK	4783.6 	4088.8 	4366.9 	4460.0 	4937.6 	5138.8 	5849.7 
A,MIO_EUR,S13,GF0101,TE,AT	7928.5 	7995.3 	7507.6 	8648.2 	8566.3 	9254.1 	9494.3 
A,MIO_EUR,S13,GF0101,TE,BE	10063.1 	10860.4 	9260.4 	10211.7 	10468.2 	11356.9 	12370.3 
A,MIO_EUR,S13,GF0101,TE,BG	1143.4 	1172.2 	1107.9 	1548.8 	1646.2 	1754.1 	1821.3 
A,MIO_EUR,S13,GF0101,TE,CH	5366.7 	5425.5 	5334.8 	5400.8 	5770.3 	5932.1 	5595.4 
A,MIO_EUR,S13,GF0101,TE,CY	718.9 	641.3 	642.5 	605.2 	718.7 	711.3 	738.1 
A,MIO_EUR,S13,GF0101,TE,CZ	4406.9 	4750.6 	4832.0 	5595.7 	5872.0 	5885.5 	6572.7 
A,MIO_EUR,S13,GF0101,TE,DE	56464.0 	56678.0 	61455.0 	63497.0 	67795.0 p	72939.0 p	84353.0 p
A,MIO_EUR,S13,GF0101,TE,DK	4100.0 	3748.7 	3930.2 	4860.9 	4807.9 	5479.5 	6141.2 
A,MIO_EUR,S13,GF0101,TE,EA19	208168.0 	208346.7 	214642.2 	216831.4 	222456.5 	239984.2 	267734.9 
A,MIO_EUR,S13,GF0101,TE,EA20	209170.3 	209517.0 	215783.9 	217946.7 	223626.0 	241252.3 	269085.8 
A,MIO_EUR,S13,GF0101,TE,EE	501.0 	487.9 	498.5 	545.5 	562.2 	628.5 	705.2 
A,MIO_EUR,S13,GF0101,TE,EL	3125.0 	3307.0 	3234.0 	3448.0 	3151.0 	3309.0 	3846.0 
A,MIO_EUR,S13,GF0101,TE,ES	17461.0 	18278.0 	16103.0 	18752.0 	18789.0 	19820.0 	22030.0 p
A,MIO_EUR,S13,GF0101,TE,EU27_2020	247209.5 	245014.1 	252904.0 	260935.0 	267850.5 	288914.6 	321887.1 
A,MIO_EUR,S13,GF0101,TE,FI	3199.0 	3354.0 	3138.0 	3488.0 	3575.0 	3983.0 	4226.0 
A,MIO_EUR,S13,GF0101,TE,FR	38294.0 	39035.0 	43627.0 	39215.0 	40307.0 	42889.0 p	46668.0 p
A,MIO_EUR,S13,GF0101,TE,HR	1002.3 	1170.2 	1141.7 	1115.3 	1169.5 	1268.1 	1350.8 
A,MIO_EUR,S13,GF0101,TE,HU	4509.4 	4272.0 	4352.6 	5465.5 	5676.8 	5286.9 	6026.9 
A,MIO_EUR,S13,GF0101,TE,IE	2578.0 	3300.8 	3233.7 	3968.4 	3640.2 	4024.8 	4959.6 
A,MIO_EUR,S13,GF0101,TE,IS	188.4 	217.2 	259.0 	273.7 	275.4 	262.3 	276.6 
A,MIO_EUR,S13,GF0101,TE,IT	43211.0 	42590.0 	43803.0 	39832.0 	38091.0 	42156.0 	46203.0 
A,MIO_EUR,S13,GF0101,TE,LT	737.6 	700.3 	609.8 	688.6 	738.5 	900.9 	916.0 
A,MIO_EUR,S13,GF0101,TE,LU	942.8 	898.1 	913.3 	1015.4 	1315.3 	1318.3 	1301.1 
A,MIO_EUR,S13,GF0101,TE,LV	705.2 	624.3 	649.6 	711.4 	681.6 	729.5 	869.5 
A,MIO_EUR,S13,GF0101,TE,MT	260.6 	290.0 	281.1 	324.9 	349.1 	341.2 	579.4 
A,MIO_EUR,S13,GF0101,TE,NL	13237.0 	10648.0 	10847.0 	12450.0 	13543.0 	14669.0 	15596.0 
A,MIO_EUR,S13,GF0101,TE,NO	6165.0 	6207.9 	6426.8 	6403.0 	6743.8 	6581.8 	7126.7 
A,MIO_EUR,S13,GF0101,TE,PL	11342.2 	10723.3 	11209.3 	12214.2 	13175.7 	14071.7 	15340.5 
A,MIO_EUR,S13,GF0101,TE,PT	5771.5 	5819.7 	5672.4 	6100.0 	6133.1 	6638.6 	7610.3 p
A,MIO_EUR,S13,GF0101,TE,RO	4277.7 	3604.4 	4315.1 	5417.8 	5387.1 	6448.2 	7275.8 
A,MIO_EUR,S13,GF0101,TE,SE	8259.6 	7225.8 	7373.0 	7885.5 	7658.9 	8736.5 	9622.9 
A,MIO_EUR,S13,GF0101,TE,SI	854.8 	936.5 	881.0 	970.6 	1062.2 	1151.9 	1423.9 
A,MIO_EUR,S13,GF0101,TE,SK	2114.9 	1901.9 	2285.2 	2359.4 	2970.1 	3163.2 	3845.4 
A,MIO_EUR,S13,GF0102,TE,AT	498.2 	573.5 	734.1 	534.6 	594.3 	667.1 	651.4 
A,MIO_EUR,S13,GF0102,TE,BE	975.8 	1041.3 	1034.2 	1046.6 	1088.7 	1215.6 	1225.0 
A,MIO_EUR,S13,GF0102,TE,BG	5.9 	4.4 	3.2 	3.2 	3.7 	3.9 	5.5 
A,MIO_EUR,S13,GF0102,TE,CH	2872.1 	2632.4 	2564.4 	2276.5 	2464.4 	2723.7 	2845.7 
A,MIO_EUR,S13,GF0102,TE,CY	0.0 	0.0 	0.0 	5.9 	6.7 	5.7 	5.0 
A,MIO_EUR,S13,GF0102,TE,CZ	41.6 	74.9 	86.3 	96.3 	103.5 	107.1 	116.7 
A,MIO_EUR,S13,GF0102,TE,DE	11867.0 	15199.0 	16388.0 	16878.0 	18723.0 p	21695.0 p	24247.0 p
A,MIO_EUR,S13,GF0102,TE,DK	2339.7 	2224.3 	2447.4 	2553.7 	2585.6 	2639.2 	2716.6 
A,MIO_EUR,S13,GF0102,TE,EA19	24390.1 	27440.0 	28976.2 	30468.8 	33334.3 	37223.7 	41025.9 
A,MIO_EUR,S13,GF0102,TE,EA20	24392.5 	27442.5 	28984.2 	30478.2 	33345.0 	37235.6 	41049.3 
A,MIO_EUR,S13,GF0102,TE,EE	31.8 	43.5 	43.9 	41.0 	43.5 	44.8 	52.6 
A,MIO_EUR,S13,GF0102,TE,EL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0102,TE,ES	494.0 	566.0 	557.0 	521.0 	779.0 	1028.0 	1569.0 p
A,MIO_EUR,S13,GF0102,TE,EU27_2020	30296.7 	33155.2 	35431.9 	37270.4 	40237.1 	44384.7 	48450.2 
A,MIO_EUR,S13,GF0102,TE,FI	943.0 	609.0 	569.0 	561.0 	579.0 	808.0 	769.0 
A,MIO_EUR,S13,GF0102,TE,FR	3637.0 	3234.0 	3610.0 	4014.0 	4407.0 	4832.0 p	5116.0 p
A,MIO_EUR,S13,GF0102,TE,HR	2.4 	2.5 	8.0 	9.4 	10.7 	11.9 	23.4 
A,MIO_EUR,S13,GF0102,TE,HU	15.0 	7.3 	7.4 	7.0 	12.7 	20.3 	31.8 
A,MIO_EUR,S13,GF0102,TE,IE	541.1 	475.3 	538.4 	574.4 	557.7 	536.1 	515.6 
A,MIO_EUR,S13,GF0102,TE,IS	33.0 	31.3 	33.4 	44.0 	40.8 	44.8 	55.8 
A,MIO_EUR,S13,GF0102,TE,IT	1350.0 	1608.0 	1494.0 	1767.0 	2108.0 	2027.0 	2602.0 
A,MIO_EUR,S13,GF0102,TE,LT	5.0 	7.7 	10.8 	9.3 	3.5 	3.4 	4.9 
A,MIO_EUR,S13,GF0102,TE,LU	282.3 	300.3 	325.7 	346.7 	360.9 	338.5 	381.6 
A,MIO_EUR,S13,GF0102,TE,LV	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0102,TE,MT	0.6 	3.1 	1.7 	2.0 	1.6 	5.4 	3.6 
A,MIO_EUR,S13,GF0102,TE,NL	3717.0 	3696.0 	3565.0 	4063.0 	4015.0 	3970.0 	3819.0 
A,MIO_EUR,S13,GF0102,TE,NO	3160.6 	2969.2 	3242.3 	3237.7 	3543.9 	3443.9 	3666.5 
A,MIO_EUR,S13,GF0102,TE,PL	58.2 	83.6 	141.1 	62.3 	83.4 	90.1 	46.0 
A,MIO_EUR,S13,GF0102,TE,PT	5.1 	4.0 	5.1 	6.3 	4.9 	5.0 	4.5 p
A,MIO_EUR,S13,GF0102,TE,RO	37.4 	37.4 	23.8 	21.9 	23.0 	47.2 	80.5 
A,MIO_EUR,S13,GF0102,TE,SE	3406.3 	3281.0 	3738.5 	4047.8 	4080.2 	4241.4 	4404.0 
A,MIO_EUR,S13,GF0102,TE,SI	12.8 	18.3 	15.9 	21.6 	24.4 	21.4 	25.5 
A,MIO_EUR,S13,GF0102,TE,SK	29.3 	60.7 	83.4 	76.3 	37.2 	20.6 	34.3 
A,MIO_EUR,S13,GF0103,TE,AT	4240.4 	4347.2 	4521.7 	4657.4 	5230.0 	5509.9 	5963.1 
A,MIO_EUR,S13,GF0103,TE,BE	4227.2 	4371.4 	4966.2 	5275.0 	5541.9 	5968.3 	6315.0 
A,MIO_EUR,S13,GF0103,TE,BG	21.2 	23.9 	25.6 	25.9 	32.0 	39.0 	53.9 
A,MIO_EUR,S13,GF0103,TE,CH	8106.1 	7874.8 	8650.7 	8265.2 	7985.7 	8697.5 	9003.9 
A,MIO_EUR,S13,GF0103,TE,CY	253.1 	257.0 	240.4 	249.2 	264.5 	296.2 	267.1 
A,MIO_EUR,S13,GF0103,TE,CZ	179.6 	191.7 	202.3 	224.3 	230.4 	216.5 	237.4 
A,MIO_EUR,S13,GF0103,TE,DE	32716.0 	34665.0 	37228.0 	40569.0 	45414.0 p	47300.0 p	49136.0 p
A,MIO_EUR,S13,GF0103,TE,DK	1091.7 	1313.7 	1095.1 	1323.7 	1172.0 	1409.3 	1490.1 
A,MIO_EUR,S13,GF0103,TE,EA19	128080.9 	129547.3 	134084.0 	141300.5 	148698.3 	152633.7 	159760.1 
